 No. , date , time , model , code , Barcode ,Total Rank  ,Upper amount (g), angle (deg), rank ,Lower amount (g), angle (deg), rank ,UP+LO amount (g), rank ,Static amount (g), angle (deg), rank ,Couple amount (g), angle (deg), rank ,LRO-T OA amount (mm), angle (deg), rank ,LRO-B OA amount (mm), angle (deg), rank ,RRO1 OA amount (mm), angle (deg), rank ,RRO2 OA amount (mm), angle (deg), rank ,RRO3 OA amount (mm), angle (deg), rank ,LRO-T 1st amount (mm), angle (deg), rank ,LRO-B 1st amount (mm), angle (deg), rank ,RRO1 1st amount (mm), angle (deg), rank ,RRO2 1st amount (mm), angle (deg), rank ,RRO3 1st amount (mm), angle (deg), rank ,LRO-T 2nd amount (mm), angle (deg), rank ,LRO-B 2nd amount (mm), angle (deg), rank ,RRO1 2nd amount (mm), angle (deg), rank ,RRO2 2nd amount (mm), angle (deg), rank ,RRO3 2nd amount (mm), angle (deg), rank ,LRO-T Nth amount (mm), angle (deg), rank ,LRO-B Nth amount (mm), angle (deg), rank ,RRO1 Nth amount (mm), angle (deg), rank ,RRO2 Nth amount (mm), angle (deg), rank ,RRO3 Nth amount (mm), angle (deg), rank ,LRO-T Bulge amount (mm), angle (deg), rank ,LRO-B Bulge amount (mm), angle (deg), rank ,LRO-T Dent amount (mm), angle (deg), rank ,LRO-B Dent amount (mm), angle (deg), rank ,Circuly value (mm), rank ,OuterDiameter1 value (mm), rank ,OuterDiameter2 value (mm), rank ,OuterDiameter3 value (mm), rank ,RO TOTAL  ,Meas.Pressure value (Kg/f),Weight value (Kg), rank ,Width value (mm), rank 
394310,2023/11/23,00:04:56,15,175/70R13           ,175443,A,30.178,43.8,A,11.047,38.7,A,41.225,A,41.194,42.4,A,19.199,46.7,A,0.925,96.6,A,1.008,201.8,A,0,0,A,0.674,340.6,A,0,0,A,0.495,63.7,A,0.492,256.4,A,0,0,A,0.225,33.9,A,0,0,A,0.369,241.3,A,0.177,43.5,A,0,0,A,0.085,289.2,A,0,0,A,0.066,241.3,A,0.07,43.5,A,0,0,A,0.072,289.7,A,0,0,A,0.314,97.5,A,0.447,353.4,A,0.442,87.3,A,0.406,89.1,A,0.337,A,0,A,597.021,A,0,A,A,0,0,OK,0,A
394311,2023/11/23,00:05:24,15,175/70R13           ,174915,A,6.349,275.6,A,5.415,34.9,A,11.764,A,5.996,327.5,A,10.164,247.9,A,0.538,5,A,1.026,208.9,A,0,0,A,0.725,248.6,A,0,0,A,0.116,314.3,A,0.637,245.8,A,0,0,A,0.507,310.3,A,0,0,A,0.127,235.5,A,0.194,349.7,A,0,0,A,0.168,221.4,A,0,0,A,0.068,235.5,A,0.093,349.7,A,0,0,A,0.093,221.4,A,0,0,A,0.431,4.7,A,0.671,0.5,A,0.384,119.2,A,0.705,96.6,A,0.266,A,0,A,597.1,A,0,A,A,0,0,OK,0,A
394312,2023/11/23,00:05:52,15,175/70R13           ,175361,A,7.8,308.6,A,18.026,300.6,A,25.825,A,25.772,303,A,10.359,114.5,A,0.925,301,A,1.269,188.6,A,0,0,A,0.362,118.8,A,0,0,A,0.39,280.5,A,0.719,196.7,A,0,0,A,0.17,125.7,A,0,0,A,0.1,286.5,A,0.449,341.5,A,0,0,A,0.112,220,A,0,0,A,0.029,286.5,A,0.061,341.5,A,0,0,A,0.066,218.4,A,0,0,A,0.341,1.6,A,0.413,358.4,A,0.397,156.9,A,0.624,94.2,A,0.202,A,0,A,597.237,A,0,A,A,0,0,OK,0,A
394313,2023/11/23,00:06:23,15,175/70R13           ,175358,A,20.749,149.6,A,1.938,93.3,A,22.687,A,21.883,145.4,A,19.74,154.3,A,0.702,260.4,A,0.57,317.3,A,0,0,A,0.741,6.8,A,0,0,A,0.095,191.7,A,0.222,236.3,A,0,0,A,0.385,79.3,A,0,0,A,0.18,139.9,A,0.118,264.5,A,0,0,A,0.253,32.3,A,0,0,A,0.068,139.9,A,0.044,264.5,A,0,0,A,0.065,32.5,A,0,0,A,0.377,276.8,A,0.383,306.6,A,0.375,269.6,A,0.566,94.5,A,0.317,A,0,A,597.081,A,0,A,A,0,0,OK,0,A
394314,2023/11/23,00:06:50,15,175/70R13           ,175355,A,14.058,38.3,A,11.013,25.3,A,25.072,A,24.913,32.6,A,4.147,75,A,0.735,212.4,A,0.647,167.4,A,0,0,A,0.316,339,A,0,0,A,0.326,223.8,A,0.189,99.6,A,0,0,A,0.152,23.1,A,0,0,A,0.059,103.3,A,0.232,340.7,A,0,0,A,0.057,41.8,A,0,0,A,0.036,103.3,A,0.083,340.7,A,0,0,A,0.055,41.8,A,0,0,A,0.341,102,A,0.297,88.5,A,0.425,94,A,0.449,94.7,A,0.126,A,0,A,597.04,A,0,A,A,0,0,OK,0,A
394315,2023/11/23,00:07:18,15,175/70R13           ,175435,A,17.7,41,A,34.246,334.7,A,51.946,A,44.422,356.1,A,31.606,123.9,A,0.663,263.1,A,1.14,315,A,0,0,A,0.468,299.7,A,0,0,A,0.04,31.9,A,0.379,276,A,0,0,A,0.131,349.1,A,0,0,A,0.215,298.1,A,0.455,300.6,A,0,0,A,0.096,353.3,A,0,0,A,0.149,298.1,A,0.129,300.6,A,0,0,A,0.086,358.8,A,0,0,A,0.432,317.9,A,0.292,315.6,A,0.402,311.6,A,0.535,242.2,A,0.238,A,0,A,597.411,A,0,A,A,0,0,OK,0,A
394316,2023/11/23,00:07:46,15,175/70R13           ,175219,A,30.682,86.4,A,19.065,53.6,A,49.747,A,47.831,73.9,A,17.942,121.6,A,1.199,268.7,A,1.137,284.3,A,0,0,A,0.292,359.8,A,0,0,A,0.703,294.9,A,0.431,288.5,A,0,0,A,0.136,52.5,A,0,0,A,0.175,120.2,A,0.115,29.9,A,0,0,A,0.07,28.2,A,0,0,A,0.114,120.2,A,0.073,29.9,A,0,0,A,0.011,28.2,A,0,0,A,0.253,198.6,A,0.164,164.4,A,0.49,203.1,A,0.281,109.2,A,0.156,A,0,A,597.194,A,0,A,A,0,0,OK,0,A
394317,2023/11/23,00:08:17,15,175/70R13           ,884386,A,22.67,296.8,A,15.883,293.8,A,38.553,A,38.54,295.6,A,6.862,303.9,A,0.561,318.3,A,0.572,18,A,0,0,A,0.478,346.6,A,0,0,A,0.253,273.4,A,0.166,25.4,A,0,0,A,0.088,308.3,A,0,0,A,0.154,288.5,A,0.351,7.7,A,0,0,A,0.1,269.6,A,0,0,A,0.057,288.5,A,0.069,7.7,A,0,0,A,0.057,269.6,A,0,0,A,0.43,4.2,A,0.333,1.4,A,0.322,12.2,A,0.328,353.8,A,0.295,A,0,A,597.498,A,0,A,A,0,0,OK,0,A
394318,2023/11/23,00:08:50,15,175/70R13           ,175348,A,30.328,329.8,A,11.207,322.7,A,41.535,A,41.473,327.9,A,19.255,333.9,A,0.564,275.8,A,0.712,126.9,A,0,0,A,0.354,102.5,A,0,0,A,0.305,265.9,A,0.182,120.9,A,0,0,A,0.22,72.1,A,0,0,A,0.045,359.4,A,0.143,358.4,A,0,0,A,0.005,115.5,A,0,0,A,0.071,359.4,A,0.05,358.4,A,0,0,A,0.031,115.5,A,0,0,A,0.494,103.5,A,0.29,283.2,A,0.425,95.6,A,0.444,293.2,A,0.136,A,0,A,597.242,A,0,A,A,0,0,OK,0,A
394319,2023/11/23,00:09:21,15,175/70R13           ,174916,A,52.541,77.5,A,15.24,60.5,A,67.781,A,67.262,73.7,A,38.23,84.2,A,0.636,278.4,A,1.189,13.5,A,0,0,A,0.681,342,A,0,0,A,0.269,250.9,A,0.53,44,A,0,0,A,0.459,314.7,A,0,0,A,0.11,204.6,A,0.218,339.1,A,0,0,A,0.243,237.7,A,0,0,A,0.071,204.6,A,0.108,339.1,A,0,0,A,0.049,238.2,A,0,0,A,0.527,6.2,A,0.369,2.2,A,0.619,358.9,A,0.466,356.6,A,0.43,A,0,A,597.704,A,0,A,A,0,0,OK,0,A
