1841,23-Feb-23,Thursday,6,R25747577,R,2,5,7,4,7,5,7,7,
1840,22-Feb-23,Wednesday,6,R13143739,R,1,3,1,4,3,7,3,9,
1839,21-Feb-23,Tuesday,6,D21415173,D,2,1,4,1,5,1,7,3,
1838,20-Feb-23,Monday,6,S09245269,S,0,9,2,4,5,2,6,9,
1837,19-Feb-23,Sunday,6,J04061771,J,0,4,0,6,1,7,7,1,
1836,18-Feb-23,Saturday,6,O43485077,O,4,3,4,8,5,0,7,7,
1835,17-Feb-23,Friday,7,D17303862,D,1,7,3,0,3,8,6,2,
1834,16-Feb-23,Thursday,7,H09324350,H,0,9,3,2,4,3,5,0,
1833,15-Feb-23,Wednesday,7,O04096571,O,0,4,0,9,6,5,7,1,
1832,14-Feb-23,Tuesday,7,H01044467,H,0,1,0,4,4,4,6,7,
1831,13-Feb-23,Monday,7,F15234963,F,1,5,2,3,4,9,6,3,
1830,12-Feb-23,Sunday,7,D09134364,D,0,9,1,3,4,3,6,4,
1829,11-Feb-23,Saturday,7,E25395775,E,2,5,3,9,5,7,7,5,
1828,10-Feb-23,Friday,7,B15161867,B,1,5,1,6,1,8,6,7,
1827,9-Feb-23,Thursday,7,C08102161,C,0,8,1,0,2,1,6,1,
1826,8-Feb-23,Wednesday,7,M15384143,M,1,5,3,8,4,1,4,3,
1825,7-Feb-23,Tuesday,7,T18325376,T,1,8,3,2,5,3,7,6,
1824,6-Feb-23,Monday,7,B29496577,B,2,9,4,9,6,5,7,7,
1823,5-Feb-23,Sunday,8,P18335557,P,1,8,3,3,5,5,5,7,
1822,4-Feb-23,Saturday,8,X10444575,X,1,0,4,4,4,5,7,5,
1821,3-Feb-23,Friday,8,B09344972,B,0,9,3,4,4,9,7,2,
1820,2-Feb-23,Thursday,8,L11415556,L,1,1,4,1,5,5,5,6,
1819,1-Feb-23,Wednesday,8,M04225770,M,0,4,2,2,5,7,7,0,
1818,31-Jan-23,Tuesday,8,Z10183458,Z,1,0,1,8,3,4,5,8,
1817,30-Jan-23,Monday,8,G06094963,G,0,6,0,9,4,9,6,3,
1816,29-Jan-23,Sunday,8,Y01134574,Y,0,1,1,3,4,5,7,4,
1815,28-Jan-23,Saturday,8,E11132351,E,1,1,1,3,2,3,5,1,
1814,27-Jan-23,Friday,8,O15324748,O,1,5,3,2,4,7,4,8,
1813,26-Jan-23,Thursday,8,Z01242762,Z,0,1,2,4,2,7,6,2,
1812,25-Jan-23,Wednesday,8,C11264262,C,1,1,2,6,4,2,6,2,
1811,24-Jan-23,Tuesday,9,P07455474,P,0,7,4,5,5,4,7,4,
1810,23-Jan-23,Monday,9,M34435556,M,3,4,4,3,5,5,5,6,
1809,22-Jan-23,Sunday,9,M07215470,M,0,7,2,1,5,4,7,0,
1808,21-Jan-23,Saturday,9,T17293260,T,1,7,2,9,3,2,6,0,
1807,20-Jan-23,Friday,9,V06113473,V,0,6,1,1,3,4,7,3,
1806,19-Jan-23,Thursday,9,G19335474,G,1,9,3,3,5,4,7,4,
1805,18-Jan-23,Wednesday,9,T14303256,T,1,4,3,0,3,2,5,6,
1804,17-Jan-23,Tuesday,9,H05124146,H,0,5,1,2,4,1,4,6,
1803,16-Jan-23,Monday,9,W15165864,W,1,5,1,6,5,8,6,4,
1802,15-Jan-23,Sunday,9,O38414471,O,3,8,4,1,4,4,7,1,
1801,14-Jan-23,Saturday,9,G02192868,G,0,2,1,9,2,8,6,8,
1800,13-Jan-23,Friday,9,F23346374,F,2,3,3,4,6,3,7,4,
1799,12-Jan-23,Thursday,10,Z23436171,Z,2,3,4,3,6,1,7,1,
1798,11-Jan-23,Wednesday,10,B08275261,B,0,8,2,7,5,2,6,1,
1797,10-Jan-23,Tuesday,10,G16364652,G,1,6,3,6,4,6,5,2,
1796,9-Jan-23,Monday,10,P11577174,P,1,1,5,7,7,1,7,4,
1795,8-Jan-23,Sunday,10,Y23303777,Y,2,3,3,0,3,7,7,7,
1794,7-Jan-23,Saturday,10,E11213257,E,1,1,2,1,3,2,5,7,
1793,6-Jan-23,Friday,10,S04105456,S,0,4,1,0,5,4,5,6,
1792,5-Jan-23,Thursday,10,T07121776,T,0,7,1,2,1,7,7,6,
1791,4-Jan-23,Wednesday,10,F04254656,F,0,4,2,5,4,6,5,6,
1790,3-Jan-23,Tuesday,10,Q41475368,Q,4,1,4,7,5,3,6,8,
1789,2-Jan-23,Monday,10,M27344758,M,2,7,3,4,4,7,5,8,
1788,1-Jan-23,Sunday,10,K04195362,K,0,4,1,9,5,3,6,2,
1787,31-Dec-22,Saturday,11,T10477076,T,1,0,4,7,7,0,7,6,
1786,30-Dec-22,Friday,11,B27434752,B,2,7,4,3,4,7,5,2,
1785,29-Dec-22,Thursday,11,J03050959,J,0,3,0,5,0,9,5,9,
1784,28-Dec-22,Wednesday,11,N07434761,N,0,7,4,3,4,7,6,1,
1783,27-Dec-22,Tuesday,11,M05182944,M,0,5,1,8,2,9,4,4,
1782,26-Dec-22,Monday,11,X13535773,X,1,3,5,3,5,7,7,3,
1781,25-Dec-22,Sunday,11,P13196570,P,1,3,1,9,6,5,7,0,
1780,24-Dec-22,Saturday,11,U13233160,U,1,3,2,3,3,1,6,0,
1779,23-Dec-22,Friday,11,E24314363,E,2,4,3,1,4,3,6,3,
1778,22-Dec-22,Thursday,11,A19265968,A,1,9,2,6,5,9,6,8,
1777,21-Dec-22,Wednesday,11,T08216370,T,0,8,2,1,6,3,7,0,
1776,20-Dec-22,Tuesday,11,W08235068,W,0,8,2,3,5,0,6,8,
1775,19-Dec-22,Monday,12,W24285174,W,2,4,2,8,5,1,7,4,
1774,18-Dec-22,Sunday,12,G04213345,G,0,4,2,1,3,3,4,5,
1773,17-Dec-22,Saturday,12,F18265676,F,1,8,2,6,5,6,7,6,
1772,16-Dec-22,Friday,12,W31407375,W,3,1,4,0,7,3,7,5,
1771,15-Dec-22,Thursday,12,P38545660,P,3,8,5,4,5,6,6,0,
1770,14-Dec-22,Wednesday,12,N34434750,N,3,4,4,3,4,7,5,0,
1769,13-Dec-22,Tuesday,12,K16174166,K,1,6,1,7,4,1,6,6,
1768,12-Dec-22,Monday,12,F08386264,F,0,8,3,8,6,2,6,4,
1767,11-Dec-22,Sunday,12,A09394257,A,0,9,3,9,4,2,5,7,
1766,10-Dec-22,Saturday,12,N05294969,N,0,5,2,9,4,9,6,9,
1765,9-Dec-22,Friday,12,N15273647,N,1,5,2,7,3,6,4,7,
1764,8-Dec-22,Thursday,12,V05174670,V,0,5,1,7,4,6,7,0,
1763,7-Dec-22,Wednesday,13,P07112242,P,0,7,1,1,2,2,4,2,
1762,6-Dec-22,Tuesday,13,I47677173,I,4,7,6,7,7,1,7,3,
1761,5-Dec-22,Monday,13,S23444673,S,2,3,4,4,4,6,7,3,
1760,4-Dec-22,Sunday,13,U37384567,U,3,7,3,8,4,5,6,7,
1759,3-Dec-22,Saturday,13,A13255257,A,1,3,2,5,5,2,5,7,
1758,2-Dec-22,Friday,13,T07323670,T,0,7,3,2,3,6,7,0,
1757,1-Dec-22,Thursday,13,J13314449,J,1,3,3,1,4,4,4,9,
1756,30-Nov-22,Wednesday,13,E03142546,E,0,3,1,4,2,5,4,6,
1755,29-Nov-22,Tuesday,13,I07164863,I,0,7,1,6,4,8,6,3,
1754,28-Nov-22,Monday,13,B14194458,B,1,4,1,9,4,4,5,8,
1753,27-Nov-22,Sunday,13,H20333553,H,2,0,3,3,3,5,5,3,
1752,26-Nov-22,Saturday,13,W17466372,W,1,7,4,6,6,3,7,2,
1751,25-Nov-22,Friday,14,A09385255,A,0,9,3,8,5,2,5,5,
1750,24-Nov-22,Thursday,14,J15384462,J,1,5,3,8,4,4,6,2,
1749,23-Nov-22,Wednesday,14,P02163251,P,0,2,1,6,3,2,5,1,
1748,22-Nov-22,Tuesday,14,D11515573,D,1,1,5,1,5,5,7,3,
1747,21-Nov-22,Monday,14,X20254862,X,2,0,2,5,4,8,6,2,
1746,20-Nov-22,Sunday,14,H26545566,H,2,6,5,4,5,5,6,6,
1745,19-Nov-22,Saturday,14,G08102441,G,0,8,1,0,2,4,4,1,
1744,18-Nov-22,Friday,14,T66676875,T,6,6,6,7,6,8,7,5,
1743,17-Nov-22,Thursday,14,W02052358,W,0,2,0,5,2,3,5,8,
1742,16-Nov-22,Wednesday,14,R16334445,R,1,6,3,3,4,4,4,5,
1741,15-Nov-22,Tuesday,14,W01566071,W,0,1,5,6,6,0,7,1,
1740,14-Nov-22,Monday,14,A14344564,A,1,4,3,4,4,5,6,4,
1739,13-Nov-22,Sunday,15,P07606667,P,0,7,6,0,6,6,6,7,
1738,12-Nov-22,Saturday,15,F01113166,F,0,1,1,1,3,1,6,6,
1737,11-Nov-22,Friday,15,N19205872,N,1,9,2,0,5,8,7,2,
1736,10-Nov-22,Thursday,15,J05172959,J,0,5,1,7,2,9,5,9,
1735,9-Nov-22,Wednesday,15,O07194555,O,0,7,1,9,4,5,5,5,
1734,8-Nov-22,Tuesday,15,M19256066,M,1,9,2,5,6,0,6,6,
1733,7-Nov-22,Monday,15,J10155669,J,1,0,1,5,5,6,6,9,
1732,6-Nov-22,Sunday,15,X23254362,X,2,3,2,5,4,3,6,2,
1731,5-Nov-22,Saturday,15,O13334257,O,1,3,3,3,4,2,5,7,
1730,4-Nov-22,Friday,15,J06071425,J,0,6,0,7,1,4,2,5,
1729,3-Nov-22,Thursday,15,J34414277,J,3,4,4,1,4,2,7,7,
1728,2-Nov-22,Wednesday,15,D47495369,D,4,7,4,9,5,3,6,9,
1727,1-Nov-22,Tuesday,16,L06102853,L,0,6,1,0,2,8,5,3,
1726,31-Oct-22,Monday,16,E28475758,E,2,8,4,7,5,7,5,8,
1725,30-Oct-22,Sunday,16,G30596277,G,3,0,5,9,6,2,7,7,
1724,29-Oct-22,Saturday,16,U23606275,U,2,3,6,0,6,2,7,5,
1723,28-Oct-22,Friday,16,C01343971,C,0,1,3,4,3,9,7,1,
1722,27-Oct-22,Thursday,16,T35525664,T,3,5,5,2,5,6,6,4,
1721,26-Oct-22,Wednesday,16,T06236162,T,0,6,2,3,6,1,6,2,
1720,25-Oct-22,Tuesday,16,D08416270,D,0,8,4,1,6,2,7,0,
1719,24-Oct-22,Monday,16,B10464755,B,1,0,4,6,4,7,5,5,
1718,23-Oct-22,Sunday,16,I22547273,I,2,2,5,4,7,2,7,3,
1717,22-Oct-22,Saturday,16,P03113346,P,0,3,1,1,3,3,4,6,
1716,21-Oct-22,Friday,16,U10293758,U,1,0,2,9,3,7,5,8,
1715,20-Oct-22,Thursday,17,P45465369,P,4,5,4,6,5,3,6,9,
1714,19-Oct-22,Wednesday,17,M23273670,M,2,3,2,7,3,6,7,0,
1713,18-Oct-22,Tuesday,17,R05396476,R,0,5,3,9,6,4,7,6,
1712,17-Oct-22,Monday,17,H03336476,H,0,3,3,3,6,4,7,6,
1711,16-Oct-22,Sunday,17,B25334056,B,2,5,3,3,4,0,5,6,
1710,15-Oct-22,Saturday,17,B09626977,B,0,9,6,2,6,9,7,7,
1709,14-Oct-22,Friday,17,U05526874,U,0,5,5,2,6,8,7,4,
1708,13-Oct-22,Thursday,17,Q17193140,Q,1,7,1,9,3,1,4,0,
1707,12-Oct-22,Wednesday,17,D21314660,D,2,1,3,1,4,6,6,0,
1706,11-Oct-22,Tuesday,17,U13141668,U,1,3,1,4,1,6,6,8,
1705,10-Oct-22,Monday,17,V05096375,V,0,5,0,9,6,3,7,5,
1704,9-Oct-22,Sunday,17,J03042331,J,0,3,0,4,2,3,3,1,
1703,8-Oct-22,Saturday,18,N21293642,N,2,1,2,9,3,6,4,2,
1702,7-Oct-22,Friday,18,V10495556,V,1,0,4,9,5,5,5,6,
1701,6-Oct-22,Thursday,18,Z10111729,Z,1,0,1,1,1,7,2,9,
1700,5-Oct-22,Wednesday,18,C20272967,C,2,0,2,7,2,9,6,7,
1699,4-Oct-22,Tuesday,18,D15344872,D,1,5,3,4,4,8,7,2,
1698,3-Oct-22,Monday,18,R12266466,R,1,2,2,6,6,4,6,6,
1697,2-Oct-22,Sunday,18,K06344962,K,0,6,3,4,4,9,6,2,
1696,1-Oct-22,Saturday,18,Y08324451,Y,0,8,3,2,4,4,5,1,
1695,30-Sep-22,Friday,18,T11155061,T,1,1,1,5,5,0,6,1,
1694,29-Sep-22,Thursday,18,A05152174,A,0,5,1,5,2,1,7,4,
1693,28-Sep-22,Wednesday,18,V10223654,V,1,0,2,2,3,6,5,4,
1692,27-Sep-22,Tuesday,18,C48505575,C,4,8,5,0,5,5,7,5,
1691,26-Sep-22,Monday,19,P03505160,P,0,3,5,0,5,1,6,0,
1690,25-Sep-22,Sunday,19,G09125073,G,0,9,1,2,5,0,7,3,
1689,24-Sep-22,Saturday,19,Y03232449,Y,0,3,2,3,2,4,4,9,
1688,23-Sep-22,Friday,19,S04083149,S,0,4,0,8,3,1,4,9,
1687,22-Sep-22,Thursday,19,F29384376,F,2,9,3,8,4,3,7,6,
1686,21-Sep-22,Wednesday,19,I27293145,I,2,7,2,9,3,1,4,5,
